,category,num_Assay_Obs
118,hasCE_AGE_yrBIN_2_item_6165,30
119,hasCE_AGE_yrBIN_2_item_6183,0
120,hasCE_AGE_yrBIN_2_item_6095,0
121,hasCE_AGE_yrBIN_2_item_6193,34
122,hasCE_AGE_yrBIN_2_item_6393,77
123,hasCE_AGE_yrBIN_2_item_6392,77
124,hasCE_AGE_yrBIN_2_item_6396,77
125,hasCE_AGE_yrBIN_2_item_6395,77
126,hasCE_AGE_yrBIN_2_item_6394,77
127,hasCE_AGE_yrBIN_2_item_6397,77
128,hasCE_AGE_yrBIN_2_item_6398,77
129,hasCE_AGE_yrBIN_2_item_6400,77
130,hasCE_AGE_yrBIN_2_item_6401,77
131,hasCE_AGE_yrBIN_2_item_6406,77
132,hasCE_AGE_yrBIN_2_item_6403,77
133,hasCE_AGE_yrBIN_2_item_6352,3
134,hasCE_AGE_yrBIN_2_item_6349,77
135,hasCE_AGE_yrBIN_2_item_6348,77
136,hasCE_AGE_yrBIN_2_item_6334,171
137,hasCE_AGE_yrBIN_2_item_5832,98
138,hasCE_AGE_yrBIN_2_item_6098,98
139,hasCE_AGE_yrBIN_2_item_6340,77
140,hasCE_AGE_yrBIN_2_item_6338,77
141,hasCE_AGE_yrBIN_2_item_5047,116
142,hasCE_AGE_yrBIN_2_item_6342,77
143,hasCE_AGE_yrBIN_2_item_6343,77
144,hasCE_AGE_yrBIN_2_item_6344,77
145,hasCE_AGE_yrBIN_2_item_6345,77
146,hasCE_AGE_yrBIN_2_item_6419,74
147,hasCE_AGE_yrBIN_2_item_6346,77
148,hasCE_AGE_yrBIN_2_item_6347,77
149,hasCE_AGE_yrBIN_2_item_6066,134
150,hasCE_AGE_yrBIN_2_item_6624,134
151,hasCE_AGE_yrBIN_2_item_6626,134
152,hasCE_AGE_yrBIN_3_item_5230,2182
153,hasCE_AGE_yrBIN_3_item_5226,2183
154,hasCE_AGE_yrBIN_3_item_5218,2183
155,hasCE_AGE_yrBIN_3_item_5212,1658
156,hasCE_AGE_yrBIN_3_item_5213,506
157,hasCE_AGE_yrBIN_3_item_5256,201
158,hasCE_AGE_yrBIN_3_item_5097,1340
159,hasCE_AGE_yrBIN_3_item_5225,2181
160,hasCE_AGE_yrBIN_3_item_5059,368
161,hasCE_AGE_yrBIN_3_item_5224,2182
162,hasCE_AGE_yrBIN_3_item_5248,2180
163,hasCE_AGE_yrBIN_3_item_5238,503
164,hasCE_AGE_yrBIN_3_item_5215,2181
165,hasCE_AGE_yrBIN_3_item_5235,2182
166,hasCE_AGE_yrBIN_3_item_5236,503
167,hasCE_AGE_yrBIN_3_item_5245,147
168,hasCE_AGE_yrBIN_3_item_5114,1339
169,hasCE_AGE_yrBIN_3_item_5099,1340
170,hasCE_AGE_yrBIN_3_item_5257,2181
171,hasCE_AGE_yrBIN_3_item_5113,1339
172,hasCE_AGE_yrBIN_3_item_5115,1339
173,hasCE_AGE_yrBIN_3_item_5132,1341
174,hasCE_AGE_yrBIN_3_item_6316,1219
175,hasCE_AGE_yrBIN_3_item_5094,1218
176,hasCE_AGE_yrBIN_3_item_5511,1
177,hasCE_AGE_yrBIN_3_item_5129,1340
178,hasCE_AGE_yrBIN_3_item_5141,1339
179,hasCE_AGE_yrBIN_3_item_5024,472
180,hasCE_AGE_yrBIN_3_item_5120,1182
181,hasCE_AGE_yrBIN_3_item_5136,1326
182,hasCE_AGE_yrBIN_3_item_5075,472
183,hasCE_AGE_yrBIN_3_item_5002,1276
184,hasCE_AGE_yrBIN_3_item_5078,486
185,hasCE_AGE_yrBIN_3_item_5025,471
186,hasCE_AGE_yrBIN_3_item_5492,1276
187,hasCE_AGE_yrBIN_3_item_5626,884
188,hasCE_AGE_yrBIN_3_item_5821,429
189,hasCE_AGE_yrBIN_3_item_5038,491
190,hasCE_AGE_yrBIN_3_item_5227,2174
191,hasCE_AGE_yrBIN_3_item_5174,662
192,hasCE_AGE_yrBIN_3_item_5186,670
193,hasCE_AGE_yrBIN_3_item_5161,662
194,hasCE_AGE_yrBIN_3_item_6165,22
195,hasCE_AGE_yrBIN_3_item_6183,0
196,hasCE_AGE_yrBIN_3_item_6095,0
197,hasCE_AGE_yrBIN_3_item_6193,24
198,hasCE_AGE_yrBIN_3_item_6393,41
199,hasCE_AGE_yrBIN_3_item_6392,41
200,hasCE_AGE_yrBIN_3_item_6396,41
201,hasCE_AGE_yrBIN_3_item_6395,41
202,hasCE_AGE_yrBIN_3_item_6394,41
203,hasCE_AGE_yrBIN_3_item_6397,41
204,hasCE_AGE_yrBIN_3_item_6398,41
205,hasCE_AGE_yrBIN_3_item_6400,41
206,hasCE_AGE_yrBIN_3_item_6401,41
207,hasCE_AGE_yrBIN_3_item_6406,41
208,hasCE_AGE_yrBIN_3_item_6403,41
209,hasCE_AGE_yrBIN_3_item_6352,1
210,hasCE_AGE_yrBIN_3_item_6349,41
211,hasCE_AGE_yrBIN_3_item_6348,41
212,hasCE_AGE_yrBIN_3_item_6334,87
213,hasCE_AGE_yrBIN_3_item_5832,46
214,hasCE_AGE_yrBIN_3_item_6098,46
215,hasCE_AGE_yrBIN_3_item_6340,41
216,hasCE_AGE_yrBIN_3_item_6338,41
217,hasCE_AGE_yrBIN_3_item_5047,72
218,hasCE_AGE_yrBIN_3_item_6342,41
219,hasCE_AGE_yrBIN_3_item_6343,41
220,hasCE_AGE_yrBIN_3_item_6344,41
221,hasCE_AGE_yrBIN_3_item_6345,41
222,hasCE_AGE_yrBIN_3_item_6419,40
223,hasCE_AGE_yrBIN_3_item_6346,41
224,hasCE_AGE_yrBIN_3_item_6347,41
225,hasCE_AGE_yrBIN_3_item_6066,85
226,hasCE_AGE_yrBIN_3_item_6624,85
227,hasCE_AGE_yrBIN_3_item_6626,85
228,hasCE_AGE_yrBIN_4_item_5230,1796
229,hasCE_AGE_yrBIN_4_item_5226,1796
230,hasCE_AGE_yrBIN_4_item_5218,1796
231,hasCE_AGE_yrBIN_4_item_5212,1233
232,hasCE_AGE_yrBIN_4_item_5213,528
233,hasCE_AGE_yrBIN_4_item_5256,160
234,hasCE_AGE_yrBIN_4_item_5097,1385
235,hasCE_AGE_yrBIN_4_item_5225,1791
236,hasCE_AGE_yrBIN_4_item_5059,351
237,hasCE_AGE_yrBIN_4_item_5224,1795
238,hasCE_AGE_yrBIN_4_item_5248,1790
239,hasCE_AGE_yrBIN_4_item_5238,546
240,hasCE_AGE_yrBIN_4_item_5215,1796
241,hasCE_AGE_yrBIN_4_item_5235,1796
242,hasCE_AGE_yrBIN_4_item_5236,545
243,hasCE_AGE_yrBIN_4_item_5245,160
244,hasCE_AGE_yrBIN_4_item_5114,1383
245,hasCE_AGE_yrBIN_4_item_5099,1385
246,hasCE_AGE_yrBIN_4_item_5257,1792
247,hasCE_AGE_yrBIN_4_item_5113,1383
248,hasCE_AGE_yrBIN_4_item_5115,1383
249,hasCE_AGE_yrBIN_4_item_5132,1385
250,hasCE_AGE_yrBIN_4_item_6316,1270
251,hasCE_AGE_yrBIN_4_item_5094,1270
252,hasCE_AGE_yrBIN_4_item_5511,2
253,hasCE_AGE_yrBIN_4_item_5129,1385
254,hasCE_AGE_yrBIN_4_item_5141,1385
255,hasCE_AGE_yrBIN_4_item_5024,442
256,hasCE_AGE_yrBIN_4_item_5120,1224
257,hasCE_AGE_yrBIN_4_item_5136,1381
258,hasCE_AGE_yrBIN_4_item_5075,442
259,hasCE_AGE_yrBIN_4_item_5002,1323
260,hasCE_AGE_yrBIN_4_item_5078,451
261,hasCE_AGE_yrBIN_4_item_5025,442
262,hasCE_AGE_yrBIN_4_item_5492,1322
263,hasCE_AGE_yrBIN_4_item_5626,876
264,hasCE_AGE_yrBIN_4_item_5821,460
265,hasCE_AGE_yrBIN_4_item_5038,480
266,hasCE_AGE_yrBIN_4_item_5227,1774
267,hasCE_AGE_yrBIN_4_item_5174,561
268,hasCE_AGE_yrBIN_4_item_5186,564
269,hasCE_AGE_yrBIN_4_item_5161,564
270,hasCE_AGE_yrBIN_4_item_6165,19
271,hasCE_AGE_yrBIN_4_item_6183,0
272,hasCE_AGE_yrBIN_4_item_6095,0
273,hasCE_AGE_yrBIN_4_item_6193,21
274,hasCE_AGE_yrBIN_4_item_6393,49
275,hasCE_AGE_yrBIN_4_item_6392,49
276,hasCE_AGE_yrBIN_4_item_6396,49
277,hasCE_AGE_yrBIN_4_item_6395,49
278,hasCE_AGE_yrBIN_4_item_6394,49
279,hasCE_AGE_yrBIN_4_item_6397,49
280,hasCE_AGE_yrBIN_4_item_6398,49
281,hasCE_AGE_yrBIN_4_item_6400,49
282,hasCE_AGE_yrBIN_4_item_6401,49
283,hasCE_AGE_yrBIN_4_item_6406,49
284,hasCE_AGE_yrBIN_4_item_6403,49
285,hasCE_AGE_yrBIN_4_item_6352,2
286,hasCE_AGE_yrBIN_4_item_6349,49
287,hasCE_AGE_yrBIN_4_item_6348,49
288,hasCE_AGE_yrBIN_4_item_6334,68
289,hasCE_AGE_yrBIN_4_item_5832,42
290,hasCE_AGE_yrBIN_4_item_6098,42
291,hasCE_AGE_yrBIN_4_item_6340,49
292,hasCE_AGE_yrBIN_4_item_6338,49
293,hasCE_AGE_yrBIN_4_item_5047,66
294,hasCE_AGE_yrBIN_4_item_6342,49
295,hasCE_AGE_yrBIN_4_item_6343,49
